                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
1237   53227535   MAQUINA ENTALCADORA                                         Unidad
1238   53227550   MAQUINA HIPOTERMIA - HIPERTERMIA                            Unidad
1239   53227570   MAQUINA LAVA CHATAS                                         Unidad
1240   53227665   MAQUINA PARA CIRCULACION EXTRACORPORAL                      Unidad
1241   53227667   MAQUINA PARA CIRUGIA DE HUESOS                              Unidad
1242   53227670   MAQUINA PARA HACER SUPOSITORIOS                             Unidad
1243   53227675   MAQUINA PARA HEMODIALISIS - HEMODIALIZADOR                  Unidad
1244   53227685   MARCAPASO EXTERNO                                           Unidad
1245   53227695   MEDIATINOSCOPIO                                             Unidad
1246   53227705   MESA DE BIPEDESTACION                                       Unidad
1247   53227707   MESA DE GRAVEDAD PARA QUIROPRACTICA/OSTEOPATIA              Unidad
1248   53227710   MESA PARA RAYOS X NUMERICA TELEMANDADA                      Unidad
1249   53227715   METABOLIMETRO                                               Unidad
1250   53227720   MEZCLADOR DE GASES                                          Unidad
1251   53227725   MEZCLADOR DE OXIGENO                                        Unidad
1252   53227730   MEZCLADOR DENTAL DE VACIO                                   Unidad
1253   53227735   MEZCLADOR MAGNETICO                                         Unidad
1254   53227740   MEZCLADORA AUTOMATICA DE MATERIALES DE IMPRESION            Unidad
1255   53227745   MICRO PERFORADOR - MICRO DRILL                              Unidad
1256   53227761   MICROSIERRA                                                 Unidad
1257   53227808   MICROCALENTADOR DE PLACAS                                   Unidad
1258   53227820   MICROCENTRIFUGA                                             Unidad
1259   53227832   MICROMANIPULADOR                                            Unidad
1260   53227838   MICROMOTOR DENTAL                                           Unidad
1261   53227844   MICROOSMOMETRO                                              Unidad
1262   53227850   MICROQUERATOMO                                              Unidad
1263   53227856   MICROSCOPIO (OTROS)                                         Unidad
1264   53227869   MICROSCOPIO COMPUESTO                                       Unidad
1265   53227882   MICROSCOPIO DE CONTRASTE DE FASE                            Unidad
1266   53227895   MICROSCOPIO DE EFECTO TUNEL                                 Unidad
1267   53227908   MICROSCOPIO DE FLUORESCENCIA                                Unidad
1268   53227921   MICROSCOPIO DE LUZ POLARIZADA                               Unidad
1269   53227934   MICROSCOPIO DE LUZ ULTRAVIOLETA                             Unidad
1270   53227951   MICROSCOPIO ELECTRONICO                                     Unidad
1271   53227966   MICROSCOPIO EN CAMPO OSCURO                                 Unidad
1272   53227973   MICROSCOPIO ESPECULAR                                       Unidad
1273   53227981   MICROSCOPIO OPTICO                                          Unidad
1274   53227998   MICROSCOPIO QUIRURGICO                                      Unidad
1275   53228022   MICROSCOPIO SIMPLE                                          Unidad
1276   53228046   MICROTOMO                                                   Unidad
1277   53228070   MINI CENTRIFUGA                                             Unidad
1278   53228093   MICROTOMO DE ROTACION                                          Unidad
1279   53228094   MODELO ANATOMICO EN GENERAL (MAYOR A 1/4 UIT)                  Unidad
1280   53228095   MODELO CEREBRO DESMONTABLE                                     Unidad
1281   53228097   MODELO CEREBRO NEUROANATOMICO DESMONTABLE                      Unidad
1282   53228098   MODELO DE MUJER EMBARAZADA                                     Unidad
1283   53228099   MODELO DEL OIDO                                                Unidad
1284   53228101   MODELO LA CABEZA DESMONTABLE                                   Unidad
1285   53228102   MODELO MUSCULAR FIGURA FEMENINA DESMONTABLE                    Unidad
1286   53228103   MODELO LARINGE FUNCIONAL DESMONTABLE                           Unidad
1287   53228104   MODELO MUSCULAR FIGURA MASCULINA DESMONTABLE                   Unidad
1288   53228105   MODELO PULMON DESMONTABLE                                      Unidad
1289   53228106   MODELO PELVIS OSEA Y ORGANOS GENITALES FEMENINOS DESMONTABLE   Unidad
1290   53228107   MODELO RIÑON NEFRON CONDUCTOR SANGUINEO Y CORPUSCULO RENAL     Unidad
1291   53228109   MODELO SISTEMA CIRCULATORIO                                    Unidad
1292   53228111   MODELO SISTEMA DIGESTIVO DESMONTABLE                           Unidad
1293   53228113   MODELO SISTEMA URINARIO AUTOESTABLE                            Unidad
1294   53228115   MODELO TORSO DESMONTABLE                                       Unidad
1295   53228117   MODULO DENTAL RODANTE                                          Unidad
1296   53228141   MONITOR CARDIACO PARA NEONATO                                  Unidad
1297   53228144   MONITOR CON MODULO DE PRESION INVASIVO                         Unidad
1298   53228147   MONITOR DE ACTIVIDAD CEREBRAL                                  Unidad
1299   53228150   MONITOR DE ANESTESICOS                                         Unidad
1300   53228153   MONITOR DE APNEA                                               Unidad
1301   53228156   MONITOR DE CINEANGIO                                           Unidad
1302   53228159   MONITOR DE DIOXIDO DE CARBONO (CO2)                            Unidad
1303   53228162   MONITOR DE ENCEFALOGRAMA                                       Unidad
1304   53228163   MONITOR DE ESTADO HIPNOTICO                                    Unidad
1305   53228165   MONITOR DE GASES EN SANGRE                                     Unidad
1306   53228168   MONITOR DE GASTOCARDIACO                                       Unidad
1307   53228169   MONITOR DE OXIDO DE ETILENO                                    Unidad
1308   53228170   MONITOR DE GRADO PARA APLICACIONES MEDICAS                     Unidad
1309   53228171   MONITOR DE PRESION ARTERIAL Y FRECUENCIA CARDIACA              Unidad
1310   53228172   MONITOR DE OPTOTIPOS                                           Unidad
1311   53228173   MONITOR DE PRESION INTERCRANEAL                                Unidad
1312   53228174   MONITOR DE PRESION VENOSA                                      Unidad
1313   53228177   MONITOR DE TEMPERATURA - MONITOR AUTOTERMOSTATICO              Unidad
1314   53228180   MONITOR DESFIBRILADOR                                          Unidad
1315   53228188   MONITOR FETAL                                                  Unidad
1316   53228197   MONITOR MULTI PARAMETRO                                        Unidad
1317   53228206   MONITOR PARA ESCOPIA                                           Unidad
1318   53228210   MONITOR PARA PRESION NO INVASIVA                               Unidad
1319   53228215   MONITOR TELEMETRICO                                            Unidad
1320   53228219   MONTURA PARA PRUEBA DE OPTOMETRIA                              Unidad
1321   53228221   MORCELADORA ELECTROMECANICA                                    Unidad
1322   53228222   MOTOR DE SIERRA OSCILANTE                                      Unidad
1323   53228224   MUFLA                                                          Unidad
1324   53228237   MULTIXH                                                        Unidad
1325   53228332   NANOMOBIL RODANTE                                              Unidad
1326   53228379   NASOFARINGOLARINGOSCOPIO                                       Unidad
1327   53228403   NEFROSCOPIO                                                    Unidad
1328   53228427   NEUMOTORAX                                                     Unidad
1329   53228438   NEUROFIBROSCOPIO                                               Unidad
1330   53228450   NEURONAVEGADOR                                                 Unidad
1331   53228474   OFTALMODINAMOGRAFO                                             Unidad
1332   53228522   OFTALMOSCOPIO                                                  Unidad
1333   53228617   OPTOMETRO                                                      Unidad
1334   53228665   ORTOPANTOMOGRAFO                                               Unidad
1335   53228713   OSMOMETRO                                                      Unidad
1336   53228724   OTO OFTALMOSCOPIO                                              Unidad
1337   53228736   OTORRINOSCOPIO                                                 Unidad
1338   53228760   OTOSCOPIO                                                      Unidad
1339   53228784   OXIGENADOR DE BURBUJA                                    Unidad
1340   53228808   OXIMETRO                                                 Unidad
1341   53228839   OXIMETRO DE PULSOS                                       Unidad
1342   53228870   PANENDOSCOPIO                                            Unidad
1343   53228903   PANENDOSCOPIO GASTROINTESTINAL                           Unidad
1344   53228998   PANTOSCOPIO                                              Unidad
1345   53229013   PAQUIMETRO                                               Unidad
1346   53229029   PARALELIGRAFO                                            Unidad
1347   53229045   PARAPODIUM/BIPEDESTADOR PARA NIÑOS                       Unidad
1348   53229060   PLASTIFICADORA DE MODELOS                                Unidad
1349   53229075   PLATAFORMA DE POSTUROLOGIA                               Unidad
1350   53229080   PERFORADORA DE MEDIOS DE MUESTRA                         Unidad
1351   53229093   PERFORADOR CRANEAL                                       Unidad
1352   53229095   PERFORADOR ELECTRICO PARA TRAUMATOLOGIA                  Unidad
1353   53229097   PERFORADOR ELECTRICO QUIRURGICO                          Unidad
1354   53229099   PERFORADOR MANUAL                                        Unidad
1355   53229101   PERFORADOR NEUMATICO QUIRURGICO                          Unidad
1356   53229102   PISTOLA DE CRIOCIRUGIA                                   Unidad
1357   53229103   PIPETOR DILUTOR AUTOMATICO                               Unidad
1358   53229104   PISTOLA NEUMATICA GRADUABLE                              Unidad
1359   53229105   PISTOLA PARA BIOPSIA                                     Unidad
1360   53229106   PISTOLA PARA LIGADURA DE HEMORROIDES                     Unidad
1361   53229107   POLIGRAFO DE FISIOLOGIA INTRACAVITARIA                   Unidad
1362   53229108   POLIGRAFO RESPIRATORIO AMBULATORIO                       Unidad
1363   53229109   POSICIONADOR CENTRALIZADOR DE LASER                      Unidad
1364   53229110   PRENSA DE PLASMA                                         Unidad
1365   53229111   PROBADOR DE GUANTES QUIRURGICOS                          Unidad
1366   53229113   PROBADOR DE USO MEDICO (OTROS)                           Unidad
1367   53229114   PROCESADOR AUTOMATICO DE PLACAS PARA RAYOS X             Unidad
1368   53229115   PROCESADOR AUTOMATICO DE TEJIDOS                         Unidad
1369   53229116   PROCESADOR ULTRASONIDO CON ULTRASONOGRAFIA ENDOSCOPICA   Unidad
1370   53229117   PROCESADOR DE EQUIPO CITOFORESIS                         Unidad
1371   53229118   PROCESADOR REVELADOR DE PLACAS PARA RAYOS X              Unidad
